"","name","label"
"1","v1","Unique twin code Twin pair"
"2","v2","V Twin #"
"3","randomv2","Randomized V2"
"4","tvdelt3","V Participation W_3"
"5","uage3","C Age W_3"
"6","c109","C Date of Interview W_3"
"7","c110","C Nurse W_3"
"8","c111","C Place of Residence W_3"
"9","c112","C Live w/ someone W_3"
"10","c113","C knows full name W_3"
"11","c114","C knows birth year W_3"
"12","c115","C knows age W_3"
"13","c116","C marital status W_3"
"14","c117","C age widowed/divorced W_3"
"15","c132","C sibs alive except twin W_3"
"16","c134","C # male sibs alive except twin W_3"
"17","c136","C # female sibs alive except twin W_3"
"18","c140","C how often see twin W_3"
"19","c141","C how often phone twin W_3"
"20","c142","C children/grandchildren alive W_3"
"21","c144","C # own children living W_3"
"22","c146","C # foster children living W_3"
"23","c148","C # grandchildren living W_3"
"24","c150","C # great grandchildren living W_3"
"25","c159","C econ now comp others same age W_3"
"26","c160","C how well money cover needs now W_3"
"27","c161","C econ prevent doing things W_3"
"28","c201","C over all health W_3"
"29","c202","C rate health compared 2 yrs ago W_3"
"30","c203","C rate health compared others same age W_3"
"31","c204","C health condition prevent doing things W_3"
"32","c207","C present keep body fit W_3"
"33","c208","C wear glasses W_3"
"34","c209","C use hearing aid W_3"
"35","c210","C eye sight rating W_3"
"36","c211","C hearing rating W_3"
"37","c212","C rate sense of smell W_3"
"38","c213","C rate sense of taste W_3"
"39","c214","C rate sense of touch W_3"
"40","c215","C vision test not performed W_3"
"41","c216","C use vision aid W_3"
"42","c217","C vision small text 1st try W_3"
"43","c218","C vision small text 2nd try W_3"
"44","c219","C vision medium text 1st try W_3"
"45","c220","C vision medium text 2nd try W_3"
"46","c221","C vision large text 1st try W_3"
"47","c222","C vision large text 2nd try W_3"
"48","c223","C # times hospitalized 2 mths W_3"
"49","c224","C # times hospitalized 2 yrs W_3"
"50","c225","C # times had surgery 2 mths W_3"
"51","c226","C # times had surgery 2 yrs W_3"
"52","c227","C # times see DR non hospital 2 mths W_3"
"53","c228","C # times see DR non hospital 2 yrs W_3"
"54","c229","C # times contact district RN 2 mths W_3"
"55","c230","C # times contact district RN 2 yrs W_3"
"56","c231","C blood pressure checked W_3"
"57","c235","C weak pulse W_3"
"58","c236","C irregular pulse W_3"
"59","c237","C standing systolic blood pressure W_3"
"60","c238","C standing diastolic blood pressure W_3"
"61","c239","C standing pulse W_3"
"62","c240","C pulse time before min W_3"
"63","c241","C pulse time before sec W_3"
"64","c242","C blood pressure gauge # W_3"
"65","c243","C # own teeth (do not use) W_3"
"66","c244","C weight Kg W_3"
"67","c245","C waist cm W_3"
"68","c246","C height cm W_3"
"69","c247","C hip cm W_3"
"70","c248","C bottom cm W_3"
"71","c249","C corset W_3"
"72","c250","C slacks/skirt W_3"
"73","c251","C scale # W_3"
"74","c252","C heart insufficiency W_3"
"75","c253","C heart insufficiency difficulty W_3"
"76","c254","C heart attack W_3"
"77","c255","C heart attack difficulty W_3"
"78","c256","C high blood pressure W_3"
"79","c257","C high blood pressure difficulty W_3"
"80","c258","C angina pectoris W_3"
"81","c259","C angina pectoris difficulty W_3"
"82","c260","C vascular spasm in leg(s) W_3"
"83","c261","C leg vascular spasm difficulty W_3"
"84","c262","C circulation disturb W_3"
"85","c263","C circulation disturb difficulty W_3"
"86","c264","C thrombosis/varicose ulcer leg W_3"
"87","c265","C thrombosis/varicose ulcer leg difficulty W_3"
"88","c266","C cerebral hemorrhage/thrombosis (stroke) W_3"
"89","c267","C cerebral hemorrhage/thrombosis difficulty W_3"
"90","c268","C iron deficiency (anemia) W_3"
"91","c269","C iron deficiency difficulty W_3"
"92","c270","C chronic bronchitis W_3"
"93","c271","C chronic bronchitis difficulty W_3"
"94","c272","C emphysema W_3"
"95","c273","C emphysema difficulty W_3"
"96","c274","C asthma W_3"
"97","c275","C asthma difficulty W_3"
"98","c276","C tuberculosis W_3"
"99","c277","C tuberculosis difficulty W_3"
"100","c278","C polio W_3"
"101","c279","C polio difficulty W_3"
"102","c280","C herpes zoster W_3"
"103","c281","C herpes zoster difficulty W_3"
"104","c282","C goiter/glandular disease W_3"
"105","c283","C goiter/glandular disease difficulty W_3"
"106","c284","C diabetes W_3"
"107","c285","C diabetes difficulty W_3"
"108","c286","C gout W_3"
"109","c287","C gout difficulty W_3"
"110","c288","C multiple sclerosis W_3"
"111","c289","C multiple sclerosis difficulty W_3"
"112","c290","C Parkinsons disease W_3"
"113","c291","C Parkinsons disease difficulty W_3"
"114","c292","C epilepsy W_3"
"115","c293","C epilepsy difficulty W_3"
"116","c294","C migrane W_3"
"117","c295","C migrane difficulty W_3"
"118","c296","C nervous paralysis W_3"
"119","c297","C nervous paralysis difficulty W_3"
"120","c298","C sciatica W_3"
"121","c299","C sciatica difficulty W_3"
"122","c300","C cataract W_3"
"123","c301","C cataract difficulty W_3"
"124","c302","C glaucoma W_3"
"125","c303","C glaucoma difficulty W_3"
"126","c304","C eye disorder W_3"
"127","c305","C eye disorder difficulty W_3"
"128","c306","C hearing impairment W_3"
"129","c307","C hearing impairment difficulty W_3"
"130","c308","C speech impairment W_3"
"131","c309","C speech impairment difficulty W_3"
"132","c310","C eczema W_3"
"133","c311","C eczema difficulty W_3"
"134","c312","C psoriasis W_3"
"135","c313","C psoriasis difficulty W_3"
"136","c314","C rheumatoid arthritis W_3"
"137","c315","C rheumatoid arthritis difficulty W_3"
"138","c316","C arthritis W_3"
"139","c317","C arthritis difficulty W_3"
"140","c318","C osteoporosis W_3"
"141","c319","C osteoporosis difficulty W_3"
"142","c320","C hip joint impairment W_3"
"143","c321","C hip joint impairment difficulty W_3"
"144","c322","C joint/muscle/skeleton disability W_3"
"145","c323","C joint/muscle/skeleton difficulty W_3"
"146","c324","C back pain W_3"
"147","c325","C back pain difficulty W_3"
"148","c326","C neck pain W_3"
"149","c327","C neck pain difficulty W_3"
"150","c328","C shoulder pain W_3"
"151","c329","C shoulder pain difficulty W_3"
"152","c330","C gastric ulcer W_3"
"153","c331","C gastric ulcer difficulty W_3"
"154","c332","C other gastro-intestinal W_3"
"155","c333","C other gastro-intestinal difficulty W_3"
"156","c334","C gall bladder disorder W_3"
"157","c335","C gall bladder disorder difficulty W_3"
"158","c336","C liver disease W_3"
"159","c337","C liver disease difficulty W_3"
"160","c338","C kidney disease W_3"
"161","c339","C kidney disease difficulty W_3"
"162","c340","C prostate disorder W_3"
"163","c341","C prostate disorder difficulty W_3"
"164","c342","C urinary tract disorder W_3"
"165","c343","C urinary tract disorder difficulty W_3"
"166","c344","C womens disease/surgery W_3"
"167","c345","C womens disease/surgery difficulty W_3"
"168","c346","C incontinence W_3"
"169","c347","C incontinence difficulty W_3"
"170","c348","C prostate tumor W_3"
"171","c349","C prostate tumor difficulty W_3"
"172","c350","C breast cancer W_3"
"173","c351","C breast cancer difficulty W_3"
"174","c352","C other cancer W_3"
"175","c353","C other cancer difficulty W_3"
"176","c354","C sibs with cancer? W_3"
"177","c355","C dizziness/vertigo W_3"
"178","c356","C dizziness/vertigo difficulty W_3"
"179","c357","C allergies W_3"
"180","c358","C allergies difficulty W_3"
"181","c359","C insomnia W_3"
"182","c360","C insomnia difficulty W_3"
"183","c361","C psych probs W_3"
"184","c362","C psych probs difficulty W_3"
"185","c363","C other disorder #1 W_3"
"186","c364","C other disorder #1 difficulty W_3"
"187","c365","C other disorder #2 W_3"
"188","c366","C other disorder #2 difficulty W_3"
"189","c367","C other disorder #3 W_3"
"190","c368","C other disorder #3 difficulty W_3"
"191","c369","C other disorder #4 W_3"
"192","c370","C other disorder #4 difficulty W_3"
"193","c371","C other disorder #5 W_3"
"194","c372","C other disorder #5 difficulty W_3"
"195","c373","C other disorder #6 W_3"
"196","c374","C other disorder #6 difficulty W_3"
"197","c375","C other disorder #7 W_3"
"198","c376","C other disorder #7 difficulty W_3"
"199","c377","C other disorder #8 W_3"
"200","c378","C other disorder #8 difficulty W_3"
"201","c379","C other disorder #9 W_3"
"202","c380","C other disorder #9 difficulty W_3"
"203","c381","C other disorder #10 W_3"
"204","c382","C other disorder #10 difficulty W_3"
"205","c383","C other disorder #11 W_3"
"206","c384","C other disorder #11 difficulty W_3"
"207","c385","C other disorder #12 W_3"
"208","c386","C other disorder #12 difficulty W_3"
"209","c387","C other disorder #13 W_3"
"210","c388","C other disorder #13 difficulty W_3"
"211","c389","C other disorder #14 W_3"
"212","c390","C other disorder #14 difficulty W_3"
"213","c391","C other disorder #15 W_3"
"214","c392","C other disorder #15 difficulty W_3"
"215","c393","C other disorder #16 W_3"
"216","c394","C other disorder #16 difficulty W_3"
"217","c395","C other disorder #17 W_3"
"218","c396","C other disorder #17 difficulty W_3"
"219","c397","C other disorder #18 W_3"
"220","c398","C other disorder #18 difficulty W_3"
"221","c399","C disability not connect with disease W_3"
"222","c401","C drug #1 W_3"
"223","c402","C drug #1 concentration W_3"
"224","c402a","C drug #1 unit W_3"
"225","c403","C drug #1 dose/day W_3"
"226","c404","C drug #1 cause W_3"
"227","c405","C drug #1 duration W_3"
"228","c406","C drug #2 W_3"
"229","c407","C drug #2 concentration W_3"
"230","c407a","C drug #2 unit W_3"
"231","c408","C drug #2 dose/day W_3"
"232","c409","C drug #2 cause W_3"
"233","c410","C drug #2 duration W_3"
"234","c411","C drug #3 W_3"
"235","c412","C drug #3 concentration W_3"
"236","c412a","C drug #3 unit W_3"
"237","c413","C drug #3 dose/day W_3"
"238","c414","C drug #3 cause W_3"
"239","c415","C drug #3 duration W_3"
"240","c416","C drug #4 W_3"
"241","c417","C drug #4 concentration W_3"
"242","c417a","C drug #4 unit W_3"
"243","c418","C drug #4 dose/day W_3"
"244","c419","C drug #4 cause W_3"
"245","c420","C drug #4 duration W_3"
"246","c421","C drug #5 W_3"
"247","c422","C drug #5 concentration W_3"
"248","c422a","C drug #5 unit W_3"
"249","c423","C drug #5 dose/day W_3"
"250","c424","C drug #5 cause W_3"
"251","c425","C drug #5 duration W_3"
"252","c426","C drug #6 W_3"
"253","c427","C drug #6 concentration W_3"
"254","c427a","C drug #6 unit W_3"
"255","c428","C drug #6 dose/day W_3"
"256","c429","C drug #6 cause W_3"
"257","c430","C drug #6 duration W_3"
"258","c431","C drug #7 W_3"
"259","c432","C drug #7 concentration W_3"
"260","c432a","C drug #7 unit W_3"
"261","c433","C drug #7 dose/day W_3"
"262","c434","C drug #7 cause W_3"
"263","c435","C drug #7 duration W_3"
"264","c436","C drug #8 W_3"
"265","c437","C drug #8 concentration W_3"
"266","c437a","C drug #8 unit W_3"
"267","c438","C drug #8 dose/day W_3"
"268","c439","C drug #8 cause W_3"
"269","c440","C drug #8 duration W_3"
"270","c441","C drug #9 W_3"
"271","c442","C drug #9 concentration W_3"
"272","c442a","C drug #9 unit W_3"
"273","c443","C drug #9 dose/day W_3"
"274","c444","C drug #9 cause W_3"
"275","c445","C drug #9 duration W_3"
"276","c446","C drug #10 W_3"
"277","c447","C drug #10 concentration W_3"
"278","c447a","C drug #10 unit W_3"
